longitude,latitude,housing_median_age,total_rooms,total_bedrooms,median_house_value
-122.2,37.81,45,2964,436,323500
-122.21,37.8,50,2833,605,216700
-122.21,37.8,38,2254,535,233100
-122.21,37.81,52,1389,212,296400
-122.22,37.81,52,1971,335,273700
-122.22,37.8,52,2183,465,227700
-122.22,37.8,52,2286,464,199600
-122.22,37.8,52,2721,541,239800
-122.22,37.81,52,2024,339,270100
-122.22,37.81,52,2944,536,302100
-122.23,37.8,52,2033,486,269500
-122.23,37.81,52,1433,229,314700
-122.22,37.81,52,2927,402,390100
-122.23,37.81,52,2315,292,410300
-122.24,37.81,52,2485,313,352400
-122.24,37.81,52,1490,238,287300
-122.23,37.81,52,2814,365,348700
-122.24,37.81,52,2093,550,243800
-122.24,37.8,52,888,168,211500
-122.25,37.8,52,2087,510,218400
-122.24,37.81,52,2513,502,269900
-122.25,37.81,46,3232,835,218800
-122.25,37.8,42,4120,1065,225000
-122.25,37.8,43,2364,792,250000
-122.25,37.8,41,1471,469,171400
-122.25,37.8,29,2468,864,193800
-122.24,37.79,27,1632,492,125000
-122.25,37.79,45,1786,526,97500
-122.25,37.79,50,629,188,125000
-122.25,37.79,52,1339,391,138800
-122.25,37.8,36,1678,606,116700
-122.25,37.8,43,2344,647,151800
-122.24,37.8,52,996,228,127000
-122.24,37.8,52,1591,373,128600
-122.24,37.8,52,1586,398,140600
-122.24,37.8,47,2046,588,182700
-122.23,37.8,52,1192,289,146900
-122.24,37.8,52,1803,420,122800
-122.24,37.8,49,2838,749,169300
-122.23,37.8,52,783,184,126600
-122.23,37.8,51,1590,414,127900
-122.23,37.8,50,1746,480,123500
-122.23,37.8,52,1252,299,111900
-122.23,37.79,43,5963,1344,112800
-122.23,37.79,52,1783,395,107900
-122.23,37.79,30,999,264,137500
-122.24,37.79,39,1469,431,105500
-122.24,37.79,47,1372,395,95500
-122.24,37.79,52,674,180,116100
-122.24,37.79,43,1626,376,112200
-122.25,37.79,51,175,43,75000
-122.25,37.79,39,461,129,112500
-122.25,37.79,52,902,237,125000
-122.26,37.8,20,2373,779,115000
-122.22,37.77,52,391,128,95000
-122.22,37.77,52,1137,301,96400
-122.23,37.77,52,769,206,72000
-122.23,37.78,52,472,146,71300
-122.23,37.78,52,862,215,80800
-122.22,37.78,50,1920,530,128800
-122.23,37.78,43,1420,472,112500
-122.23,37.78,52,986,258,119400
-122.23,37.78,44,2340,825,118100
-122.23,37.79,48,1696,396,122500
-122.23,37.79,49,1175,217,106300
-122.22,37.79,37,2343,574,132500
-122.23,37.79,30,610,145,122700
-122.23,37.79,40,930,199,113300
-122.22,37.79,44,1487,314,109500
-122.22,37.79,52,3424,690,164700
-122.21,37.79,52,762,190,125000
-122.22,37.79,46,2366,575,124700
-122.22,37.79,49,1826,450,136700
-122.22,37.79,38,3049,711,141700
-122.2,37.79,29,1640,376,150000
-122.21,37.79,47,1543,307,138800
-122.21,37.79,34,2364,557,139200
-122.21,37.79,35,1745,409,143800
-122.21,37.8,39,2003,500,156500
-122.21,37.8,39,2018,447,151000
-122.2,37.8,43,3045,499,273000
-122.2,37.8,52,1547,293,217100
-122.21,37.8,52,3519,711,187100
-122.2,37.8,41,2070,354,239600
-122.21,37.8,48,1321,263,229700
-122.19,37.8,48,1694,259,257300
-122.19,37.8,46,1938,341,246900
-122.19,37.79,50,968,195,179900
-122.2,37.79,40,1060,256,169600
-122.2,37.8,46,2041,405,203300
-122.19,37.8,52,1813,271,263400
-122.19,37.79,45,2718,451,231800
-122.19,37.79,28,3144,761,140500
-122.2,37.79,35,1802,459,126000
-122.2,37.79,49,882,195,122000
-122.2,37.79,44,1621,452,134700
-122.21,37.79,45,2115,533,139400
-122.2,37.79,45,2021,528,115400
-122.21,37.78,46,2239,508,137300
-122.21,37.78,52,1477,300,137000
-122.21,37.78,52,1056,224,142600
-122.21,37.78,49,898,244,137500
-122.22,37.78,44,2968,710,111700
-122.21,37.78,43,1702,460,126800
-122.21,37.78,47,881,248,111300
-122.22,37.77,40,494,114,114800
-122.22,37.78,50,1776,473,102300
-122.22,37.78,44,1678,514,131900
-122.22,37.78,51,1637,463,119100
-122.21,37.76,52,1420,314,80600
-122.21,37.77,52,591,173,80600
-122.21,37.77,52,745,153,88800
-122.2,37.77,49,2272,498,102400
-122.21,37.77,46,1234,375,98700
-122.21,37.77,43,1017,328,100000
-122.19,37.77,42,932,254,92300
-122.2,37.77,39,2689,597,94800
-122.2,37.77,41,1547,415,102000
-122.2,37.78,52,2300,443,158400
-122.2,37.78,39,1752,399,121600
-122.2,37.78,50,1867,403,129100
-122.2,37.77,43,2430,502,121400
-122.21,37.78,44,1729,414,102800
-122.19,37.78,52,1026,180,160000
-122.19,37.77,52,2170,428,143900
-122.19,37.77,52,2329,445,151200
-122.19,37.78,52,2492,415,164400
-122.19,37.78,52,2198,397,156500
-122.18,37.78,33,142,31,225000
-122.19,37.78,49,1183,205,174200
-122.19,37.78,52,1070,193,166900
-122.2,37.78,45,1766,332,163500
-122.18,37.79,39,617,95,253000
-122.18,37.79,41,1411,233,240700
-122.18,37.79,46,2109,387,208100
-122.19,37.79,47,1229,243,198100
-122.19,37.79,50,954,217,172800
-122.18,37.81,37,1643,262,336700
-122.18,37.8,34,1355,195,318200
-122.18,37.8,23,2317,336,285800
-122.13,37.77,24,2459,317,293000
-122.16,37.79,22,12842,2048,371000
-122.17,37.78,42,1524,260,157300
-122.17,37.77,30,3326,746,135300
-122.18,37.78,43,1985,440,136700
-122.18,37.78,50,1642,322,160700
-122.17,37.78,49,893,177,140600
-122.17,37.78,52,653,128,144000
-122.16,37.77,47,1256,,161900
-122.16,37.77,48,977,194,156300
-122.16,37.77,45,2324,397,176000
-122.16,37.77,39,1583,349,145800
-122.17,37.77,39,1612,342,141900
-122.17,37.77,31,2424,533,90700
-122.17,37.76,41,1594,367,90600
-122.17,37.76,47,2118,413,107900
-122.18,37.76,37,1575,358,107000
-122.17,37.76,38,1764,397,98200
-122.18,37.76,50,1187,261,89500
-122.18,37.76,52,754,175,93800
-122.18,37.76,49,2308,452,96700
-122.18,37.77,27,909,236,97500
-122.18,37.77,42,1180,257,97300
-122.18,37.76,43,2018,408,91200
-122.19,37.76,49,1368,282,91400
-122.18,37.77,52,2744,547,96200
-122.18,37.77,51,2107,471,120100
-122.18,37.77,52,1748,362,100000
-122.19,37.76,52,2024,391,94700
-122.2,37.76,47,1116,259,85700
-122.19,37.77,41,2036,510,89300
-122.19,37.77,45,1852,393,101400
-122.19,37.76,41,921,207,72500
-122.19,37.76,45,995,238,74100
-122.2,37.75,36,606,132,70000
-122.2,37.76,37,2680,736,84600
-122.19,37.76,38,1493,370,81800
-122.19,37.75,19,2207,565,81400
-122.19,37.75,28,856,189,81800
-122.19,37.76,26,1293,297,85800
-122.19,37.74,36,847,212,87100
-122.18,37.74,42,541,154,83500
-122.19,37.73,44,1066,253,79700
-122.19,37.74,43,707,147,83400
-122.19,37.73,45,1528,291,84700
-122.18,37.73,42,909,215,80000
-122.18,37.73,43,1391,293,76400
-122.18,37.73,44,548,119,79700
-122.18,37.73,42,4074,874,82400
-122.17,37.74,41,1613,445,97700
-122.17,37.74,47,463,134,97200
-122.17,37.74,43,818,193,101600
-122.17,37.73,43,1473,371,86500
-122.18,37.74,35,504,126,90500
-122.17,37.74,46,1026,226,107600
-122.17,37.74,46,769,183,84200
-122.18,37.74,46,2103,391,88900
-122.18,37.75,45,330,76,80700
-122.18,37.75,46,941,218,87100
-122.17,37.75,38,992,,85100
-122.18,37.75,45,990,261,82000
-122.19,37.75,36,1126,263,82800
-122.18,37.75,43,1036,233,84600
-122.18,37.75,36,1047,214,82100
-122.17,37.76,33,1280,307,89300
-122.17,37.75,43,1587,320,98300
-122.17,37.75,41,1257,271,92300
-122.17,37.75,44,1218,248,88800
-122.17,37.75,48,1751,390,90000
-122.16,37.76,45,2299,514,95500
-122.16,37.75,38,2457,624,91700
-122.17,37.75,47,998,211,100400
-122.17,37.76,40,1685,343,94800
-122.16,37.76,46,1827,307,164300
-122.16,37.76,36,2781,574,155500
-122.15,37.76,39,1823,286,196900
-122.14,37.77,27,2229,365,279100
-122.14,37.76,34,1513,231,252800
-122.13,37.76,26,3266,491,275400
-122.12,37.75,33,1809,261,250000
-122.12,37.75,28,794,111,329800
-122.14,37.75,36,690,105,195500
-122.14,37.75,33,1334,200,255900
-122.13,37.75,30,414,54,311100
-122.13,37.75,36,768,93,330000
-122.13,37.74,41,4400,666,248900
-122.16,37.75,46,954,161,142900
-122.15,37.75,40,1445,256,126300
-122.15,37.75,44,1938,399,135800
-122.15,37.74,41,856,178,130600
-122.16,37.75,24,1790,454,107900
-122.16,37.75,44,617,131,111100
-122.15,37.74,43,1383,275,122000
-122.15,37.74,49,1325,277,118000
-122.16,37.75,40,1227,294,95200
-122.16,37.75,35,667,140,94300
-122.17,37.74,34,1223,281,92500
-122.17,37.75,37,1379,287,91800
-122.16,37.74,43,1534,300,109400
-122.16,37.74,46,1029,181,129500
-122.16,37.74,52,771,147,143400
-122.16,37.74,47,824,223,98200
-122.16,37.74,44,1097,239,103100
-122.29,37.9,49,1283,238,276800
-122.29,37.9,52,1604,263,270900
-122.29,37.89,52,2248,422,246200
-122.3,37.9,38,2263,522,224200
-122.29,37.89,52,1571,349,229100
-122.3,37.89,46,1520,402,211600
-122.3,37.9,15,5083,1212,256100
-122.3,37.89,36,1077,293,206300
-122.3,37.89,52,1248,283,221300
-122.33,37.89,42,1342,291,207400
-122.34,37.88,37,3061,930,350000
-122.29,37.89,52,3171,698,218200
-122.29,37.88,50,1211,261,216700
-122.29,37.89,52,979,175,270600
-122.29,37.89,52,2269,380,261400
-122.28,37.88,52,1844,332,261300
-122.29,37.89,52,2178,421,232200
-122.27,37.9,42,1650,274,375400
-122.26,37.9,52,1927,279,357300
-122.27,37.9,52,2079,273,374400
-122.27,37.9,52,1803,240,358800
-122.27,37.9,52,2041,270,417500
-122.27,37.89,52,3046,373,430500
-122.28,37.9,52,2318,328,362900
-122.28,37.9,52,2003,250,397000
-122.28,37.9,52,2261,328,346800
-122.28,37.89,52,1225,169,327100
-122.28,37.89,52,2315,408,290100
-122.28,37.89,52,2070,329,292000
-122.28,37.89,52,2616,473,270900
-122.27,37.89,52,2640,366,371100
-122.27,37.89,52,1978,293,335600
-122.26,37.9,37,2220,335,371300
-122.25,37.89,41,1125,195,344000
-122.26,37.89,52,3078,494,342200
-122.26,37.89,52,3706,531,370900
-122.25,37.89,37,3000,457,350000
-122.25,37.89,42,2863,460,368600
-122.26,37.88,52,2551,417,391800
-122.26,37.88,52,2255,410,415300
-122.27,37.88,52,3360,648,284900
-122.27,37.88,52,1693,391,287500
-122.27,37.88,44,2252,592,272900
-122.28,37.88,52,2495,491,259600
-122.28,37.88,52,1193,200,254500
-122.28,37.88,52,1172,215,235600
-122.29,37.88,52,2159,424,218400
-122.29,37.88,48,2365,490,229200
-122.29,37.88,46,1895,442,192100
-122.29,37.88,52,1650,395,179300
-122.3,37.88,45,453,146,187500
-122.3,37.88,52,409,97,138800
-122.3,37.87,10,503,118,150000
-122.3,37.86,50,499,127,140600
-122.29,37.85,52,477,119,120000
-122.3,37.88,46,1647,376,144800
-122.3,37.87,52,3123,749,144800
-122.28,37.88,52,957,188,245500
-122.28,37.87,52,589,132,200000
-122.28,37.87,49,2026,548,173700
-122.29,37.87,50,1829,536,185600
-122.29,37.87,52,895,198,182600
-122.28,37.88,52,1909,416,227900
-122.28,37.87,46,3022,696,220700
-122.28,37.87,46,1777,446,212000
-122.27,37.88,52,2803,930,271400
-122.27,37.87,30,1465,439,268800
-122.27,37.88,37,2619,682,277800
-122.26,37.88,52,1149,255,332500
-122.26,37.88,52,2363,604,338900
-122.26,37.88,52,2604,837,287500
-122.25,37.87,41,685,141,384600
-122.25,37.87,42,1756,465,371400
-122.25,37.87,52,1204,460,350000
-122.25,37.87,52,609,236,500001
-122.26,37.87,52,1087,371,175000
-122.26,37.87,52,2773,998,241700
-122.27,37.87,35,3218,1108,216700
-122.27,37.87,49,1350,368,211300
-122.27,37.87,52,3084,698,210200
-122.28,37.86,52,938,195,196400
-122.28,37.87,52,1813,353,191700
-122.28,37.87,52,1233,300,182300
-122.29,37.87,44,2539,755,175000
-122.29,37.87,46,1267,324,165900
-122.29,37.86,52,1665,404,156900
-122.28,37.86,52,1659,367,164300
-122.29,37.87,52,2225,460,150000
-122.29,37.86,50,2485,607,150500
-122.28,37.86,52,2031,450,169900
-122.28,37.86,49,2932,668,147400
-122.28,37.85,52,2246,472,152700
-122.27,37.86,49,2052,435,182700
-122.28,37.86,52,1999,417,179300
-122.28,37.86,52,3007,691,157700
-122.28,37.86,41,2214,550,153100
-122.27,37.86,52,1088,305,250000
-122.27,37.86,52,834,186,206300
-122.27,37.86,52,1769,372,218800
-122.27,37.86,52,2307,583,198200
-122.26,37.86,35,5161,1744,253600
-122.26,37.86,52,3497,832,257400
-122.26,37.86,52,3774,744,289500
-122.26,37.86,52,2888,604,241700
-122.25,37.86,48,2153,517,489600
-122.25,37.86,52,1389,191,446200
-122.25,37.86,52,1709,318,456300
-122.25,37.86,52,1587,444,336800
-122.24,37.86,52,1668,225,500001
-122.24,37.85,52,3726,474,500001
-122.25,37.86,52,4048,663,376900
-122.26,37.85,52,3618,768,309600
-122.27,37.85,52,4076,920,182300
-122.27,37.85,47,2077,400,172700
-122.27,37.85,50,1279,300,150800
-122.27,37.85,52,1974,426,153600
-122.27,37.85,52,335,83,106300
-122.27,37.85,47,1375,307,142300
-122.28,37.85,52,610,145,119400
-122.28,37.85,44,1025,198,147900
-122.28,37.85,48,2063,484,132900
-122.29,37.84,35,1872,419,132500
-122.28,37.83,52,3108,813,126900
-122.3,37.84,14,7355,2408,143800
-122.23,37.83,52,2990,379,500001
-122.22,37.82,39,2492,310,500001
-122.22,37.82,42,2991,335,500001
-122.23,37.82,52,3242,366,500001
-122.23,37.82,52,3051,381,466100
-122.23,37.82,52,3494,396,500001
-122.24,37.83,52,1757,246,457800
-122.24,37.83,52,2449,312,471600
-122.23,37.82,52,1611,203,500001
-122.24,37.82,52,3665,517,398600
-122.25,37.82,52,2474,403,340700
-122.23,37.76,52,3037,516,289900
-122.23,37.76,52,2269,323,335300
-122.23,37.76,52,1316,177,333000
-122.24,37.77,52,1153,235,241000
-122.23,37.77,52,772,179,189600
-122.24,37.77,52,1711,386,206300
-122.25,37.77,52,2650,566,215700
-122.25,37.77,52,1038,220,210200
-122.25,37.77,52,1527,320,208800
-122.25,37.77,52,859,157,197900
-122.26,37.78,52,970,217,201300
-122.26,37.78,52,1045,239,190800
-122.27,37.78,52,1408,280,207900
-122.27,37.78,52,1222,264,215300
-122.27,37.78,45,1169,263,212900
-122.27,37.78,13,2020,535,292700
-122.28,37.79,30,4145,869,275000
-122.3,37.77,42,2038,368,200000
-122.28,37.78,29,5154,,173400
-122.29,37.78,42,1241,309,102200
-122.28,37.77,52,1468,363,220800
-122.28,37.77,27,3997,1073,242800
-122.29,37.76,18,2873,763,265400
-122.28,37.78,50,1487,306,219000
-122.26,37.77,52,1670,350,282100
-122.27,37.77,52,2252,388,372000
-122.27,37.77,52,1731,377,225800
-122.27,37.77,52,1710,481,220800
-122.27,37.77,52,2388,559,234500
-122.25,37.77,52,2156,458,254200
-122.26,37.77,52,1565,315,351800
-122.26,37.77,52,1704,371,275000
-122.26,37.77,52,1210,168,405400
-122.26,37.77,52,2097,444,228100
-122.26,37.77,52,1848,479,234000
-122.24,37.77,43,955,284,162500
-122.25,37.77,43,4329,1110,243400
-122.23,37.76,52,3011,542,273800
-122.23,37.76,52,1049,185,248500
-122.24,37.76,52,2504,516,244000
-122.24,37.76,52,1846,471,240900
-122.23,37.76,52,1705,246,306300
-122.23,37.75,50,1542,289,240000
-122.24,37.75,45,891,,247100
-122.24,37.75,27,4051,753,286600
-122.24,37.76,52,2646,581,266700
-122.24,37.76,49,2428,525,229800
-122.24,37.76,52,2567,436,229300
-122.24,37.73,21,7031,1249,228400
-122.25,37.74,25,1914,365,206200
-122.24,37.72,5,18634,2885,350700
-122.27,37.73,31,5785,1379,231000
-122.25,37.76,52,2876,648,252900
-122.27,37.74,28,6909,1554,353900
-122.27,37.77,23,5679,1270,291700
-122.28,37.75,20,1156,365,100000
-122.06,37.77,12,14316,2045,341600
-122.06,37.73,5,3596,467,412500
-122.06,37.71,36,3541,570,248600
-122.07,37.71,40,1808,302,254900
-122.07,37.71,36,2879,480,241500
-122.07,37.72,26,3204,477,295200
-122.08,37.72,31,3866,531,340400
-122.08,37.72,32,2476,368,274700
-122.08,37.71,35,2211,350,238600
-122.09,37.71,35,2663,387,266400
-122.1,37.72,30,2599,366,330200
-122.11,37.71,36,4569,824,206800
-122.1,37.7,25,2973,622,209200
-122.1,37.69,30,3115,625,195800
-122.09,37.71,31,1843,282,253500
-122.09,37.7,31,2053,336,241800
-122.1,37.71,27,6740,1073,252500
-122.09,37.7,30,1751,269,263900
-122.08,37.71,38,1663,295,227000
-122.08,37.71,38,3716,657,220900
-122.08,37.7,32,2718,447,259300
-122.07,37.7,39,1420,272,232500
-122.06,37.7,37,1893,310,231600
-122.06,37.7,33,3906,790,209400
-122.07,37.7,32,3400,736,223200
-122.08,37.7,25,3402,758,209900
-122.09,37.7,33,4413,1107,208200
-122.07,37.69,29,2304,618,203800
-122.08,37.69,36,2350,499,195700
-122.07,37.69,31,5914,1309,190500
-122.08,37.69,43,1575,324,181000
-122.08,37.69,42,1414,274,184900
-122.08,37.68,37,848,202,190800
-122.08,37.68,15,3051,685,242200
-122.09,37.69,20,4296,817,188300
-122.15,37.74,52,2898,557,183500
-122.14,37.74,52,1071,201,204200
-122.14,37.73,51,2619,403,251900
-122.15,37.74,49,1494,316,187500
-122.16,37.73,52,2260,416,198200
-122.15,37.74,52,1394,223,219000
-122.15,37.73,52,1028,129,275000
-122.15,37.73,45,3758,819,245400
-122.17,37.73,46,2163,470,177500
-122.16,37.73,49,1699,408,171600
-122.17,37.73,52,1555,289,183300
-122.16,37.73,52,1114,206,175000
-122.18,37.72,45,1498,313,156700
-122.18,37.71,45,726,147,157500
-122.17,37.71,38,890,200,179800
-122.18,37.7,36,2639,533,205500
-122.18,37.7,35,2562,554,178900
-122.19,37.71,36,361,69,262500
-122.17,37.72,42,3008,659,165000
-122.17,37.72,46,1369,284,159700
-122.17,37.72,5,1692,398,158300
-122.16,37.72,38,1007,245,144800
-122.17,37.72,43,3783,814,166300
-122.16,37.71,37,1507,242,191000
-122.16,37.71,36,666,132,175000
-122.16,37.72,10,2229,601,137500
-122.15,37.73,28,2215,587,141700
-122.15,37.72,31,1616,372,210900
-122.15,37.72,47,1190,251,198300
-122.15,37.72,29,4169,1047,157400
-122.14,37.73,52,2024,320,264700
-122.14,37.73,38,1723,394,218400
-122.14,37.73,43,2264,390,235100
-122.13,37.73,33,1996,268,341800
-122.13,37.72,26,2862,394,367300
-122.13,37.72,35,2183,383,243500
-122.12,37.71,35,1037,207,167900
-122.13,37.72,25,1134,153,371200
-122.14,37.72,39,786,132,218900
-122.14,37.72,45,1397,253,202700
-122.13,37.72,45,2315,451,186200
-122.13,37.71,44,1613,339,188900
-122.13,37.71,44,1421,298,180000
-122.15,37.71,18,5778,1526,202700
-122.14,37.71,27,3094,866,181700
-122.14,37.71,18,3905,1007,166800
-122.13,37.7,43,3046,557,183700
-122.13,37.7,19,3516,710,218000
-122.15,37.71,36,998,178,191500
-122.15,37.7,36,1464,244,194700
-122.14,37.7,17,1463,292,187200
-122.13,37.7,21,4124,1054,223100
-122.13,37.69,17,2380,769,271300
-122.14,37.7,36,1266,228,194100
-122.16,37.7,36,2239,391,190400
-122.14,37.69,38,1571,317,189100
-122.15,37.69,38,1246,221,184600
-122.15,37.69,36,1501,287,197300
-122.15,37.7,36,1468,252,192600
-122.16,37.69,36,1118,219,192200
-122.16,37.7,36,1097,208,194600
-122.16,37.7,36,1719,303,193500
-122.17,37.7,24,1755,365,202600
-122.16,37.68,16,1687,348,83300
-122.17,37.69,24,2262,391,212600
-122.18,37.68,5,2087,407,187800
-122.16,37.69,36,1480,278,205700
-122.15,37.69,36,1545,273,192900
-122.15,37.68,35,2632,447,205200
-122.15,37.68,30,2261,443,213400
-122.15,37.69,39,1670,308,183600
-122.14,37.69,37,2141,535,178400
-122.14,37.68,27,3337,613,219200
-122.14,37.68,31,3184,716,183100
-122.1,37.69,44,2341,500,157100
-122.12,37.69,30,1197,269,157800
-122.13,37.69,34,1131,278,161700
-122.12,37.71,38,1164,284,152100
-122.12,37.7,41,3495,787,144900
-122.12,37.7,17,2488,617,179900
-122.12,37.69,35,2681,508,179100
-122.12,37.7,19,2495,635,159900
-122.11,37.7,23,1689,461,161400
-122.11,37.7,29,1298,306,170400
-122.11,37.7,19,2693,789,137500
-122.1,37.69,41,746,,178400
-122.11,37.69,37,2444,651,155200
-122.11,37.69,42,1472,310,160900
-122.12,37.69,10,2227,560,167300
-122.03,37.69,20,200,25,340000
-121.97,37.64,32,1283,194,431000
-122.02,37.63,6,2445,590,301100
-122.04,37.63,21,1307,236,241900
-122.05,37.63,5,3785,936,162500
-122.04,37.66,10,2031,357,299200
-122.04,37.65,10,8299,1326,315500
-122.05,37.68,23,7518,1279,216800
-122.07,37.68,36,1815,426,218100
-122.06,37.68,30,5367,1207,170300
-122.08,37.68,26,1167,370,275000
-122.08,37.68,26,2607,682,184100
-122.08,37.67,29,493,168,160000
-122.09,37.67,48,1252,305,175000
-122.09,37.68,41,1382,353,197500
-122.09,37.69,43,500,110,150000
-122.09,37.68,29,2333,538,205600
-122.09,37.68,41,1834,463,170300
-122.09,37.68,43,1415,348,190900
-122.1,37.68,37,1352,342,196900
-122.1,37.68,37,2116,503,174000
-122.11,37.68,37,1976,481,170200
-122.1,37.68,38,1779,413,180900
-122.1,37.67,34,3659,897,150500
-122.1,37.68,31,1892,428,167100
-122.12,37.68,35,1958,484,148900
-122.12,37.68,40,1553,253,196400
-122.12,37.68,37,2412,394,191100
-122.11,37.67,36,2110,389,187500
-122.12,37.68,45,2179,401,180600
-122.13,37.68,45,2457,445,182800
-122.13,37.68,44,2147,399,179300
-122.13,37.68,43,1676,340,179400
-122.14,37.68,35,2976,518,210300
-122.14,37.67,34,3036,533,192300
-122.15,37.67,35,2472,398,198100
-122.14,37.67,36,1487,249,196200
-122.13,37.67,38,2012,347,181600
